18-3-8-16-16_4-1-3-2-16-1-0.9,0.28981882,0.4730759
model,MAE,RMSE
18-3-8-16-16_4-1-3-2-16-1-0.9,0.29226834,0.47049832
model,MAE,RMSE
18-3-8-16-16_4-1-3-2-16-1-0.9,0.29265156,0.47271854
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
18-3-8-16-4-1-3-2-16-1-0.7,0.31263736,0.5050491
model,MAE,RMSE
model,MAE,RMSE
